TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
1372636853620000380,C,,,20000380,1372636853,A,false,"[[-8.610291,41.140746],[-8.6103,41.140755],[-8.610309,41.14089],[-8.613657,41.141358],[-8.614602,41.141484],[-8.614242,41.142618],[-8.61363,41.143239],[-8.612883,41.143761],[-8.612208,41.144238],[-8.611542,41.144724],[-8.611227,41.144931],[-8.611191,41.14494],[-8.611101,41.145012],[-8.610822,41.145552],[-8.610516,41.146119],[-8.609355,41.146695],[-8.608311,41.147694],[-8.607051,41.148468],[-8.604792,41.147883],[-8.604045,41.147685],[-8.603865,41.146956],[-8.604531,41.146182],[-8.605593,41.145534],[-8.605854,41.145345],[-8.60589,41.145345]]"
1372636854620000520,C,,,20000520,1372636854,A,false,"[[-8.574678,41.151951],[-8.574705,41.151942],[-8.574696,41.151933],[-8.57466,41.15196],[-8.574723,41.151933],[-8.574714,41.151924],[-8.574714,41.151924],[-8.575164,41.150934],[-8.577135,41.150232],[-8.57853,41.148639],[-8.579745,41.147316],[-8.579358,41.146173],[-8.580744,41.14503],[-8.582904,41.14512],[-8.58438,41.146479],[-8.610849,41.145876],[-8.610012,41.146479],[-8.609058,41.146866],[-8.608968,41.147055],[-8.586027,41.148702],[-8.587197,41.149224],[-8.588205,41.148963],[-8.588835,41.147604],[-8.590176,41.147082],[-8.592543,41.146614],[-8.594721,41.146245],[-8.596737,41.146317],[-8.59869,41.146119],[-8.598816,41.146101],[-8.600193,41.146155],[-8.601057,41.146101],[-8.602344,41.14575],[-8.602785,41.145705],[-8.60328,41.145597],[-8.604045,41.145417],[-8.604657,41.144256],[-8.605854,41.142555],[-8.607951,41.142753],[-8.607978,41.142825],[-8.607996,41.142879],[-8.607987,41.142888],[-8.608005,41.142915],[-8.607996,41.142915]]"
1372636858620000589,C,,,20000589,1372636858,A,false,"[[-8.618643,41.141412],[-8.618499,41.141376],[-8.620326,41.14251],[-8.622153,41.143815],[-8.623953,41.144373],[-8.62668,41.144778],[-8.627373,41.144697],[-8.630226,41.14521],[-8.632746,41.14692],[-8.631738,41.148225],[-8.629938,41.150385],[-8.62911,41.151213],[-8.629128,41.15124],[-8.628786,41.152203],[-8.628687,41.152374],[-8.628759,41.152518],[-8.630838,41.15268],[-8.632323,41.153022],[-8.631144,41.154489],[-8.630829,41.154507],[-8.630829,41.154516],[-8.630829,41.154498],[-8.630838,41.154489]]"
1372636875620000233,C,,,20000233,1372636875,A,false,"[[-8.619894,41.148009],[-8.620164,41.14773],[-8.62065,41.148513],[-8.62092,41.150313],[-8.621208,41.151951],[-8.621118,41.153517],[-8.620884,41.155416],[-8.620938,41.155479],[-8.620974,41.155461],[-8.621028,41.155461],[-8.619777,41.155344],[-8.619282,41.155335],[-8.618112,41.155101],[-8.61534,41.154579],[-8.613297,41.153994],[-8.612064,41.153832],[-8.611911,41.155227],[-8.611794,41.156838],[-8.610804,41.157171],[-8.61021,41.15727],[-8.609508,41.157333],[-8.60949,41.157351]]"
1372636896620000360,C,,,20000360,1372636896,A,false,"[[-8.617599,41.146137],[-8.617581,41.14593],[-8.617383,41.145075],[-8.61651,41.145021],[-8.615466,41.145696],[-8.615232,41.146866],[-8.615196,41.146983],[-8.615187,41.146992],[-8.61561,41.147271],[-8.61624,41.147217],[-8.617338,41.147244],[-8.618049,41.147757],[-8.618931,41.148603],[-8.61993,41.147883],[-8.621379,41.147487],[-8.623944,41.148108],[-8.625096,41.148585],[-8.625699,41.149782],[-8.626014,41.15187],[-8.626644,41.154147],[-8.627697,41.155983],[-8.628579,41.156532],[-8.610723,41.147802],[-8.611722,41.147919],[-8.627976,41.158044],[-8.628804,41.159223],[-8.628264,41.16096],[-8.627598,41.163057],[-8.627211,41.164416],[-8.627832,41.16483],[-8.629776,41.165064],[-8.631567,41.164731],[-8.63163,41.164767],[-8.631873,41.164668],[-8.633718,41.163759],[-8.635743,41.164119],[-8.637912,41.164668],[-8.639271,41.165307],[-8.640252,41.165973],[-8.638803,41.166027],[-8.638425,41.167197],[-8.636499,41.168637],[-8.636625,41.169141]]"
1372636951620000320,C,,,20000320,1372636951,A,false,"[[-8.612964,41.140359],[-8.613378,41.14035],[-8.614215,41.140278],[-8.614773,41.140368],[-8.615907,41.140449],[-8.616609,41.140602],[-8.618472,41.141412],[-8.620623,41.142789],[-8.622558,41.144094],[-8.62506,41.144805],[-8.627436,41.144733],[-8.630082,41.145174],[-8.6319,41.146461],[-8.632584,41.147316],[-8.631252,41.148774],[-8.629713,41.150628],[-8.628804,41.152077],[-8.628579,41.152464],[-8.62875,41.152662],[-8.630424,41.15277],[-8.632683,41.152779],[-8.635131,41.152563],[-8.637705,41.153013],[-8.64036,41.15358],[-8.642205,41.154021],[-8.644068,41.154507],[-8.646453,41.154336],[-8.648613,41.1543],[-8.649504,41.154336],[-8.649837,41.154354],[-8.649837,41.1543],[-8.649882,41.154282],[-8.649936,41.1543],[-8.6499,41.154264],[-8.599383,41.141736],[-8.59653,41.140566],[-8.65008,41.154291],[-8.650395,41.153814],[-8.650377,41.153832],[-8.650359,41.153787],[-8.649891,41.153166],[-8.649369,41.152572],[-8.649198,41.152374],[-8.649711,41.151213],[-8.649117,41.150466],[-8.649117,41.149062],[-8.648613,41.148261],[-8.648424,41.148225],[-8.647587,41.148405],[-8.64594,41.148414],[-8.643861,41.148135],[-8.642763,41.148027],[-8.640918,41.14836],[-8.637759,41.148351],[-8.635338,41.147964],[-8.633277,41.147172],[-8.631513,41.146146],[-8.629776,41.14503],[-8.627814,41.144643],[-8.625996,41.144769],[-8.624088,41.144463],[-8.621325,41.143401],[-8.619444,41.141961],[-8.617365,41.140863],[-8.61597,41.14053]]"
1372636956620000167,C,,,20000167,1372636956,A,false,"[[-8.613297,41.15439],[-8.613306,41.153877],[-8.613261,41.153841],[-8.6121,41.153922],[-8.612181,41.155119],[-8.613135,41.155218],[-8.614071,41.155416],[-8.616519,41.155839],[-8.617887,41.156028],[-8.617878,41.156064],[-8.618247,41.156127],[-8.619831,41.156334],[-8.621415,41.156541],[-8.623449,41.156973],[-8.625501,41.157342],[-8.627499,41.157666],[-8.628219,41.158305],[-8.629668,41.158728],[-8.630334,41.157864],[-8.629515,41.156973],[-8.629821,41.155659],[-8.630919,41.154561],[-8.63235,41.153463],[-8.632584,41.152761],[-8.634222,41.152473],[-8.636112,41.152491],[-8.637102,41.152707],[-8.637777,41.152878],[-8.63991,41.153364],[-8.642043,41.153985],[-8.644131,41.154489],[-8.645607,41.154363]]"
1372636965620000231,C,,,20000231,1372636965,A,false,"[[-8.615502,41.140674],[-8.614854,41.140926],[-8.613351,41.14152],[-8.609976,41.140854],[-8.607537,41.141295],[-8.603676,41.141808],[-8.599833,41.141916],[-8.596458,41.140494],[-8.592993,41.140008],[-8.589384,41.140674],[-8.587026,41.142753],[-8.583831,41.143644],[-8.581086,41.143698],[-8.579133,41.144238],[-8.577594,41.144688],[-8.578809,41.145957],[-8.580168,41.147136],[-8.578827,41.149359],[-8.579808,41.151879],[-8.581626,41.153868],[-8.582076,41.155434],[-8.580546,41.155947],[-8.578719,41.156271],[-8.578629,41.157693],[-8.578521,41.159439],[-8.578224,41.160717]]"
1372637072620000367,C,,,20000367,1372637072,A,false,"[[-8.617599,41.146254],[-8.617608,41.146074],[-8.617464,41.145435],[-8.663454,41.184405],[-8.66016,41.181732],[-8.617041,41.144823],[-8.615934,41.145345],[-8.615214,41.14566],[-8.61381,41.146002],[-8.612532,41.145939],[-8.611281,41.1462],[-8.611029,41.14737],[-8.61075,41.148513],[-8.610579,41.148981],[-8.610543,41.149062],[-8.610192,41.150034],[-8.609895,41.150961],[-8.609922,41.151942],[-8.609958,41.1534],[-8.609346,41.154804],[-8.609256,41.156685],[-8.60868,41.158449],[-8.607744,41.160429],[-8.606439,41.163741],[-8.606385,41.165649],[-8.606448,41.167836],[-8.605971,41.169654],[-8.605062,41.170788],[-8.605053,41.170779],[-8.604765,41.17113],[-8.60418,41.172237],[-8.605629,41.173182],[-8.605746,41.173434],[-8.605737,41.173434],[-8.605926,41.174055],[-8.607267,41.175216],[-8.609013,41.175315],[-8.610255,41.174127],[-8.610417,41.172795],[-8.611362,41.172678],[-8.611335,41.172705],[-8.611146,41.172453],[-8.611254,41.171166],[-8.610732,41.170626],[-8.610633,41.170653],[-8.610597,41.170698],[-8.610597,41.170716],[-8.610606,41.170707],[-8.610597,41.170689],[-8.610597,41.170662],[-8.610624,41.170653],[-8.610633,41.170644],[-8.610633,41.170644],[-8.610633,41.170644],[-8.610552,41.170599]]"
1372637084620000285,C,,,20000285,1372637084,A,false,"[[-8.585685,41.148576],[-8.585766,41.148936],[-8.58636,41.148864],[-8.586243,41.147973],[-8.58717,41.147397],[-8.585901,41.146911],[-8.583858,41.145894],[-8.582184,41.144823],[-8.580078,41.145156],[-8.578764,41.145696],[-8.577783,41.14458],[-8.575767,41.143878],[-8.573589,41.143833],[-8.572293,41.142888],[-8.571303,41.141943],[-8.569998,41.141097],[-8.568468,41.14053],[-8.56782,41.140107],[-8.56746,41.139288],[-8.566596,41.138784],[-8.566578,41.138802],[-8.566551,41.138775],[-8.566569,41.138784],[-8.566569,41.138784]]"
