trip_num,route_rank,cost,similarity_score,coverage_score,distance_score,num_edges,num_gps_points
1,1,2364.640000000001,0.6970748239126543,0.6086956521739131,0.829643581520766,39,23
4,1,7152.939999999995,0.2523343307798684,0.37209302325581395,0.0726962920659501,104,43
4,2,6752.139999999996,0.23764784305054434,0.3488372093023256,0.07086379367287247,99,43
4,3,6764.219999999996,0.21922750769592417,0.32558139534883723,0.0596966762165546,99,43
4,4,6835.009999999995,0.21155376559397754,0.32558139534883723,0.04051232096168806,103,43
4,5,6434.2099999999955,0.19719179001599077,0.3023255813953488,0.03949110294695368,98,43
6,1,3901.0400000000004,0.09292933818252047,0.15384615384615385,0.0015541146870703803,75,26
6,2,3879.8900000000003,0.09292677035271846,0.15384615384615385,0.0015476951125653518,75,26
7,1,2831.11,0.28493017205090404,0.3055555555555556,0.25399209679392676,49,36
10,1,1613.53,0.8387749617542088,0.8421052631578947,0.8337795096486801,34,19
10,2,1787.98,0.8387749617542088,0.8421052631578947,0.8337795096486801,36,19
10,3,2283.3600000000006,0.8387749617542088,0.8421052631578947,0.8337795096486801,37,19
10,4,2457.81,0.8387749617542088,0.8421052631578947,0.8337795096486801,39,19
12,1,4951.020000000001,0.5695868533357302,0.5454545454545454,0.6057853151575073,105,44
14,1,3646.0099999999993,0.6689164812132562,0.6764705882352942,0.6575853206801995,59,34
14,2,3666.709999999999,0.6689164812132562,0.6764705882352942,0.6575853206801995,60,34
16,1,4041.5299999999993,0.08437754361641554,0.140625,6.359041038895255e-06,82,64
16,2,3952.4399999999987,0.08437750219572344,0.140625,6.255489308645558e-06,79,64
16,3,3963.2899999999986,0.08437750219572344,0.140625,6.255489308645558e-06,80,64
17,1,7453.349999999997,0.0905344113907166,0.13846153846153847,0.01864372078448379,132,65
17,2,7445.609999999997,0.09050405775562308,0.13846153846153847,0.018567836696749995,131,65
17,3,6768.559999999997,0.06214647525023887,0.09230769230769231,0.016904649664058715,119,65
17,4,6760.819999999997,0.06211895297755425,0.09230769230769231,0.016835843982347155,118,65
17,5,6872.919999999996,0.05287108171283964,0.07692307692307693,0.016793088897483707,118,65
18,1,1478.6699999999998,0.7426129693369462,0.631578947368421,0.909164002289734,44,19
18,2,1431.17,0.7251098619330163,0.631578947368421,0.8654062337799092,45,19
18,3,1462.13,0.7251098619330163,0.631578947368421,0.8654062337799092,46,19
18,4,1412.58,0.7248407133278997,0.631578947368421,0.8647333622671176,44,19
18,5,1443.54,0.7248407133278997,0.631578947368421,0.8647333622671176,45,19
19,1,2337.070000000001,0.8117971075965638,0.7647058823529411,0.8824339454619979,61,17
19,2,2463.710000000001,0.8117971075965638,0.7647058823529411,0.8824339454619979,62,17
19,3,2476.11,0.811145221287372,0.7647058823529411,0.8808042296890185,66,17
19,4,2475.9100000000008,0.8105557837540552,0.7647058823529411,0.8793306358557265,65,17
19,5,2602.5500000000006,0.8105557837540552,0.7647058823529411,0.8793306358557265,66,17
22,1,5493.15,0.5479496231479304,0.5581395348837209,0.5326647555442446,164,43
22,2,5518.3099999999995,0.5479496231479304,0.5581395348837209,0.5326647555442446,165,43
22,3,5508.19,0.5435924819737392,0.5581395348837209,0.5217719026087666,163,43
